draw_id,date,n1,n2,n3,n4,n5,n6,bonus
2325,2025-06-23,14,16,18,21,30,39,20
2326,2025-06-26,3,13,25,36,37,41,15
2327,2025-06-30,3,5,6,13,33,35,7
2328,2025-07-03,4,8,19,31,36,39,22
2329,2025-07-07,9,13,15,26,28,31,5
2330,2025-07-10,7,14,16,30,31,32,1
2331,2025-07-14,1,8,16,36,37,40,4
2332,2025-07-17,12,16,19,29,30,38,41
2333,2025-07-21,4,16,30,32,41,42,2
2334,2025-07-24,3,7,19,20,23,37,11
2335,2025-07-28,3,9,20,25,33,35,27
2336,2025-07-31,6,8,10,12,27,40,1
2337,2025-08-04,6,12,15,16,26,33,41
2338,2025-08-07,1,4,7,12,16,22,10
2339,2025-08-11,5,16,24,29,32,41,12
2340,2025-08-14,5,13,17,19,23,25,15
2341,2025-08-18,10,30,36,37,39,41,8
2342,2025-08-21,1,10,21,26,37,40,29
2343,2025-08-25,1,12,18,20,22,41,38
2344,2025-08-28,4,7,10,16,36,39,28
2345,2025-09-01,5,7,15,17,35,38,34
2346,2025-09-04,1,6,8,30,40,42,17
2347,2025-09-08,17,20,22,35,36,41,42
2348,2025-09-11,3,7,13,16,30,34,25
2349,2025-09-15,2,4,8,12,17,28,24
2350,2025-09-18,13,14,15,28,36,41,22
2351,2025-09-22,7,10,17,24,26,31,33
2352,2025-09-25,12,15,17,27,31,32,39
2353,2025-09-29,3,4,15,25,28,37,12
2354,2025-10-02,3,10,25,31,37,42,16
2355,2025-10-06,17,24,25,30,34,39,38
2356,2025-10-09,2,3,16,19,37,38,22
2357,2025-10-13,4,6,7,10,20,35,24
2358,2025-10-16,1,7,22,29,35,39,13
2359,2025-10-20,4,12,29,30,31,41,33
2360,2025-10-23,11,22,26,28,35,40,27
2361,2025-10-27,4,13,25,26,33,35,32
2362,2025-10-30,10,16,17,20,27,41,3
2363,2025-11-03,1,5,15,20,23,32,18
2364,2025-11-06,6,8,20,25,34,41,32
2365,2025-11-10,6,9,14,22,31,40,17
2366,2025-11-13,8,17,18,30,39,42,19
2367,2025-11-17,10,12,18,23,24,35,41
2368,2025-11-20,3,12,24,30,33,40,4
2369,2025-11-24,8,17,21,29,30,38,33
2370,2025-11-27,1,4,16,20,34,35,33
2371,2025-12-01,6,12,16,17,22,39,29
2372,2025-12-04,1,2,7,13,24,29,11
2373,2025-12-08,5,13,18,19,36,39,32
2374,2025-12-11,9,11,12,14,22,40,15
2375,2025-12-15,16,18,30,31,32,35,2
2376,2025-12-18,26,27,28,38,39,40,20
2377,2025-12-22,6,9,14,17,34,35,21
2378,2025-12-25,2,5,21,27,38,40,20
2379,2025-12-29,11,17,18,19,29,32,20
2380,2026-01-01,5,7,11,16,26,40,37
2381,2026-01-05,2,9,26,33,36,41,7
2382,2026-01-08,15,17,19,24,28,33,37
2383,2026-01-12,9,10,11,19,31,33,24
2384,2026-01-15,1,20,27,29,31,37,4
2385,2026-01-19,10,20,21,23,24,37,25
2386,2026-01-22,4,17,20,22,39,41,33
2387,2026-01-26,4,24,25,32,34,40,6
2388,2026-01-29,4,11,19,21,29,30,33
2389,2026-02-02,4,11,19,21,29,30,33
